name,validFrom,changeEventDescription
Cressier (FR),1960-01-01,Initial recording of the municipality Cressier (FR)
Fräschels,1960-01-01,Initial recording of the municipality Fräschels
Greng,1960-01-01,Initial recording of the municipality Greng
Kerzers,1960-01-01,Initial recording of the municipality Kerzers
Kleinbösingen,1960-01-01,Initial recording of the municipality Kleinbösingen
Meyriez,1960-01-01,Initial recording of the municipality Meyriez
Muntelier,1960-01-01,Initial recording of the municipality Muntelier
Broc,1960-01-01,Initial recording of the municipality Broc
Châtel-sur-Montsalvens,1960-01-01,Initial recording of the municipality Châtel-sur-Montsalvens
Crésuz,1960-01-01,Initial recording of the municipality Crésuz
Echarlens,1960-01-01,Initial recording of the municipality Echarlens
Grandvillard,1960-01-01,Initial recording of the municipality Grandvillard
Gruyères,1960-01-01,Initial recording of the municipality Gruyères
Hauteville,1960-01-01,Initial recording of the municipality Hauteville
Jaun,1960-01-01,Initial recording of the municipality Jaun
Morlon,1960-01-01,Initial recording of the municipality Morlon
Le Pâquier (FR),1960-01-01,Initial recording of the municipality Le Pâquier (FR)
Pont-la-Ville,1960-01-01,Initial recording of the municipality Pont-la-Ville
Riaz,1960-01-01,Initial recording of the municipality Riaz
La Roche,1960-01-01,Initial recording of the municipality La Roche
Sorens,1960-01-01,Initial recording of the municipality Sorens
Vaulruz,1960-01-01,Initial recording of the municipality Vaulruz
Vuadens,1960-01-01,Initial recording of the municipality Vuadens
Le Châtelard,1960-01-01,Initial recording of the municipality Le Châtelard
Châtonnaye,1960-01-01,Initial recording of the municipality Châtonnaye
Grangettes,1960-01-01,Initial recording of the municipality Grangettes
Massonnens,1960-01-01,Initial recording of the municipality Massonnens
Brünisried,1960-01-01,Initial recording of the municipality Brünisried
Düdingen,1960-01-01,Initial recording of the municipality Düdingen
Giffers,1960-01-01,Initial recording of the municipality Giffers
Heitenried,1960-01-01,Initial recording of the municipality Heitenried
Rechthalten,1960-01-01,Initial recording of the municipality Rechthalten
St. Silvester,1960-01-01,Initial recording of the municipality St. Silvester
St. Ursen,1960-01-01,Initial recording of the municipality St. Ursen
Schmitten (FR),1960-01-01,Initial recording of the municipality Schmitten (FR)
Tentlingen,1960-01-01,Initial recording of the municipality Tentlingen
Ueberstorf,1960-01-01,Initial recording of the municipality Ueberstorf
Attalens,1960-01-01,Initial recording of the municipality Attalens
Bossonnens,1960-01-01,Initial recording of the municipality Bossonnens
Châtel-Saint-Denis,1960-01-01,Initial recording of the municipality Châtel-Saint-Denis
Granges (Veveyse),1960-01-01,Initial recording of the municipality Granges (Veveyse)
Remaufens,1960-01-01,Initial recording of the municipality Remaufens
